cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
"ES0022000005635208CB1P";"2024/01/03";"20:00";"1,422";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"21:00";"0,360";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"22:00";"0,426";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"23:00";"1,239";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"24:00";"0,582";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"01:00";"0,183";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"02:00";"0,147";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"03:00";"0,162";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"04:00";"0,145";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"05:00";"0,157";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"06:00";"0,428";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"07:00";"0,199";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"08:00";"1,506";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"09:00";"0,928";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"10:00";"0,453";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"11:00";"0,281";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"12:00";"0,398";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"13:00";"0,212";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"14:00";"1,006";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"15:00";"0,982";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"16:00";"0,499";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"17:00";"0,268";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"18:00";"0,227";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"19:00";"0,598";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"20:00";"1,634";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"21:00";"1,232";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"22:00";"0,573";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"23:00";"0,280";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"24:00";"0,448";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"01:00";"0,161";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"02:00";"0,200";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"03:00";"0,301";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"04:00";"0,155";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"05:00";"0,161";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"06:00";"0,153";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"07:00";"0,350";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"08:00";"1,036";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"09:00";"0,493";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"10:00";"0,262";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"11:00";"0,456";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"12:00";"0,275";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"13:00";"0,210";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"14:00";"1,432";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"15:00";"1,610";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"16:00";"0,556";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"17:00";"0,667";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"18:00";"2,187";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"19:00";"0,770";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"20:00";"0,677";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"21:00";"0,195";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"22:00";"0,175";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"23:00";"0,196";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"24:00";"0,396";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"01:00";"0,371";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"02:00";"0,191";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"03:00";"0,094";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"04:00";"0,062";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"05:00";"0,098";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"06:00";"0,075";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"07:00";"0,279";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"08:00";"0,168";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"09:00";"0,114";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"10:00";"0,128";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"11:00";"0,846";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"12:00";"0,914";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"13:00";"0,652";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"14:00";"0,437";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"15:00";"2,133";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"16:00";"1,468";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"17:00";"0,965";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"18:00";"0,447";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"19:00";"0,178";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"20:00";"0,327";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"21:00";"0,182";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"22:00";"0,194";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"23:00";"0,156";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/06";"24:00";"0,440";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"01:00";"0,167";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"02:00";"0,410";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"03:00";"0,922";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"04:00";"0,594";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"05:00";"0,096";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"06:00";"0,083";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/07";"07:00";"0,105";Real;"0,000"
